machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5144777777777778,0.4926900584795322,0.5447,0.5107602339181286
pump,0.5928222222222221,0.5207017543859649,0.5177777777777778,0.4928654970760234
ToyCar,0.5092000000000001,0.4898245614035088,0.5168111111111111,0.4982456140350877
valve,0.4815111111111111,0.5019298245614036,0.4958888888888888,0.5082456140350877
gearbox,0.6207221633012387,0.5259068085294235,0.7004449838187703,0.5796834318806725
ToyTrain,0.6055666666666667,0.5430994152046784,0.5401111111111111,0.5704093567251463
slider,0.6906750694296091,0.6487480183046808,0.5664679911699778,0.5732543278726618
