machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5350444444444444,0.48994152046783623,0.5530888888888889,0.5128654970760234
pump,0.6044333333333333,0.5386549707602339,0.5116222222222222,0.49415204678362573
ToyCar,0.5163555555555556,0.4905847953216374,0.5099777777777776,0.5028070175438597
valve,0.49951111111111113,0.5058479532163743,0.5069222222222222,0.508888888888889
gearbox,0.6397501750299803,0.5324592596970622,0.7254680998613038,0.5948609387546536
ToyTrain,0.5990444444444444,0.5577777777777778,0.5396888888888889,0.5806432748538012
slider,0.7080111087374492,0.654426067304557,0.5652759381898456,0.5715115603578482
