machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5058666666666667,0.4982456140350877,0.5615777777777777,0.5130409356725146
pump,0.5547555555555556,0.505672514619883,0.5160444444444444,0.4935672514619883
ToyCar,0.48636666666666667,0.4898245614035088,0.5073444444444445,0.49339181286549705
valve,0.5015777777777778,0.5129824561403509,0.5225111111111111,0.5103508771929824
gearbox,0.5901109794053833,0.5038524837474767,0.6634400523963631,0.5156935623849267
ToyTrain,0.5584888888888889,0.5321637426900585,0.5419111111111111,0.5847368421052631
slider,0.6447553941465499,0.6051788304343426,0.5931898454746136,0.5679098408272336
