machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5302111111111111,0.492280701754386,0.5394333333333333,0.5094736842105263
pump,0.6090444444444445,0.536608187134503,0.5202333333333333,0.4975438596491228
ToyCar,0.5398666666666666,0.4926900584795322,0.5112777777777777,0.504561403508772
valve,0.4955888888888889,0.5053801169590644,0.5067777777777778,0.5116374269005848
gearbox,0.6539050748296491,0.5424375191310778,0.7511846971798428,0.597157335085286
ToyTrain,0.6088222222222222,0.5811695906432749,0.5490111111111112,0.5812865497076023
slider,0.7220999786370434,0.6529081730174614,0.5658830022075055,0.5655861508074823
