machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5019333333333333,0.49912280701754386,0.5595777777777777,0.5276023391812865
pump,0.5318111111111111,0.5126900584795322,0.5070777777777778,0.4952046783625731
ToyCar,0.4710222222222222,0.48818713450292395,0.5090333333333333,0.49543859649122807
valve,0.5105444444444444,0.5036257309941521,0.5152777777777777,0.5050877192982456
gearbox,0.5697797741593362,0.49626025051815803,0.6290934658653106,0.507557323730037
ToyTrain,0.5649666666666666,0.5364912280701755,0.5443555555555555,0.582514619883041
slider,0.6455565050202947,0.6037171544541764,0.5920971302428256,0.5688393168351342
