machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5474444444444444,0.49251461988304096,0.5529222222222222,0.5106432748538011
pump,0.5945444444444444,0.5265497076023392,0.5171222222222223,0.49315789473684213
ToyCar,0.5052111111111112,0.4912865497076023,0.5174444444444445,0.4983625730994152
valve,0.5082333333333333,0.5063742690058479,0.5100888888888888,0.5097076023391813
gearbox,0.6228641143482994,0.5218461859517052,0.6985860687316998,0.5761602631173403
ToyTrain,0.5947222222222223,0.5728654970760234,0.5427888888888889,0.5654385964912281
slider,0.691476180303354,0.6540887574629802,0.5656181015452538,0.5734866968746369
