machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.4961777777777777,0.061333333333333344,0.4993888888888889,0.07011111111111111
pump,0.5064277777777777,0.04955555555555557,0.48538333333333333,0.05000000000000001
ToyCar,0.47964444444444443,0.03805555555555556,0.4800944444444443,0.05000000000000001
valve,0.5062777777777777,0.06811111111111111,0.5188333333333335,0.045555555555555564
gearbox,0.5131838799677614,0.046897351045147945,0.5367248177273864,0.06574032305604556
ToyTrain,0.48420555555555544,0.043333333333333335,0.5135166666666665,0.05000000000000001
slider,0.5346885143097354,0.11200219142587395,0.5464282192788815,0.09137122884473878
