machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5113111111111112,0.4916374269005848,0.5434222222222223,0.507953216374269
pump,0.5934999999999999,0.5239181286549708,0.5147333333333334,0.4908187134502924
ToyCar,0.4871888888888889,0.4884210526315789,0.5199555555555555,0.49608187134502923
valve,0.4926555555555555,0.5047953216374269,0.5033777777777777,0.5078362573099415
gearbox,0.5693430656934306,0.5019553375296748,0.6134516104176299,0.5117242945551581
ToyTrain,0.6015333333333333,0.5511111111111111,0.5561444444444443,0.5917543859649123
slider,0.6607028412732322,0.6305895051664624,0.5881898454746137,0.5724410363657488
