machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5369888888888888,0.49087719298245613,0.5596333333333333,0.5119883040935672
pump,0.5823,0.5323976608187134,0.5108,0.4938011695906433
ToyCar,0.5210000000000001,0.4901169590643275,0.5150555555555556,0.4990058479532164
valve,0.5031333333333333,0.5048538011695907,0.5103666666666666,0.5130994152046784
gearbox,0.6374279950922287,0.5326051940215085,0.7240811373092926,0.5934668791720401
ToyTrain,0.5933666666666666,0.5673684210526315,0.5485444444444445,0.5864327485380117
slider,0.6948194830164494,0.651783806878872,0.5689293598233995,0.5726734053677239
