machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5245,0.4903508771929824,0.5413333333333333,0.5091228070175439
pump,0.6095333333333333,0.5409356725146198,0.5158555555555555,0.4919298245614035
ToyCar,0.5286444444444445,0.4884795321637427,0.5112111111111111,0.5039181286549708
valve,0.49063333333333337,0.505672514619883,0.5030888888888889,0.5098830409356725
gearbox,0.6356672974677842,0.5383440613303592,0.738432347048852,0.5940346416202318
ToyTrain,0.6080555555555556,0.5528070175438596,0.5436333333333334,0.5807602339181287
slider,0.7106494338816491,0.6517275885719426,0.5646136865342164,0.5655861508074823
