machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5260333333333334,0.4950292397660819,0.5441444444444444,0.5093567251461988
pump,0.6091666666666666,0.5393567251461988,0.5196666666666666,0.4946198830409357
ToyCar,0.5235777777777778,0.48988304093567253,0.5096,0.5050877192982456
valve,0.4786111111111111,0.5035087719298246,0.4999555555555556,0.5039181286549708
gearbox,0.6475693361338131,0.5414378690086207,0.7390873015873016,0.5980495332181587
ToyTrain,0.6205888888888889,0.5861988304093567,0.5495111111111111,0.5812865497076023
slider,0.7019867549668874,0.6579678206411136,0.5772185430463576,0.570233530846985
