machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5373888888888889,0.4915204678362573,0.5475,0.5109941520467837
pump,0.5973555555555555,0.5318128654970761,0.5145000000000001,0.49514619883040933
ToyCar,0.5442555555555556,0.48871345029239766,0.5173666666666666,0.5044444444444445
valve,0.47496666666666665,0.5035672514619883,0.5037777777777778,0.5093567251461988
gearbox,0.640048245887662,0.5463668008167945,0.7311989520727387,0.6052175341265786
ToyTrain,0.6375333333333333,0.5784795321637427,0.5502222222222223,0.5722222222222222
slider,0.7084276863917965,0.6568434545025242,0.5666666666666667,0.5679679330777274
