machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5348444444444443,0.4915204678362573,0.5513555555555556,0.5101754385964912
pump,0.6016111111111111,0.5352046783625731,0.5115666666666667,0.4936842105263158
ToyCar,0.5202666666666667,0.4898245614035088,0.5133777777777777,0.504327485380117
valve,0.48924444444444437,0.5068421052631579,0.5064222222222222,0.5108771929824562
gearbox,0.6450669273053702,0.5403761967982739,0.7332793959007553,0.605156702435701
ToyTrain,0.6411888888888888,0.5783625730994152,0.5508222222222222,0.5866666666666667
slider,0.7165349284340953,0.6665130032943929,0.5636644591611479,0.5681422098292088
