machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5309777777777778,0.49116959064327487,0.5483888888888889,0.512748538011696
pump,0.6144777777777779,0.5385964912280702,0.5186555555555555,0.4953801169590643
ToyCar,0.5297111111111111,0.49198830409356725,0.5089888888888889,0.5042690058479532
valve,0.5107888888888888,0.502748538011696,0.5056333333333334,0.5142105263157895
gearbox,0.6501479956467792,0.5430577400099746,0.7334046077978117,0.597446285616955
ToyTrain,0.6136666666666667,0.5675438596491228,0.5569777777777778,0.5755555555555556
slider,0.7200704977568895,0.6521211167204488,0.5624282560706402,0.5678517485767398
