machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5132222222222222,0.4953801169590643,0.5447333333333334,0.5091228070175439
pump,0.5849777777777778,0.5260233918128655,0.5115888888888889,0.49099415204678365
ToyCar,0.5071444444444445,0.4884210526315789,0.5256888888888889,0.4908187134502924
valve,0.49620000000000003,0.4994152046783626,0.5021444444444445,0.5177777777777778
gearbox,0.5692113599656179,0.5022216676717893,0.6128544459855139,0.5119929678565346
ToyTrain,0.5785333333333333,0.5602923976608187,0.5540666666666667,0.571345029239766
slider,0.7063234351634267,0.6447565185126884,0.5552538631346579,0.5625072615313117
