machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.520711111111111,0.4953216374269006,0.5411444444444444,0.5095906432748538
pump,0.5840000000000001,0.5292397660818714,0.5122,0.49514619883040933
ToyCar,0.5159888888888888,0.48853801169590644,0.5293777777777778,0.49485380116959066
valve,0.48377777777777775,0.5045029239766082,0.4935666666666667,0.5092397660818714
gearbox,0.625186294286051,0.5310327516755997,0.7031129603945139,0.5713444209228573
ToyTrain,0.5895444444444444,0.5439181286549708,0.5446888888888889,0.5584795321637427
slider,0.7073274941251869,0.6500410393640585,0.5687969094922737,0.5612873242709423
