machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5377111111111111,0.4926315789473684,0.5478333333333334,0.5101169590643275
pump,0.5743555555555556,0.5250292397660818,0.5115888888888889,0.4921052631578947
ToyCar,0.5167333333333334,0.4868421052631579,0.5141888888888888,0.49935672514619883
valve,0.4961,0.5073099415204678,0.5057555555555555,0.5123391812865498
gearbox,0.6205488662909587,0.5252537524275263,0.7031707505008475,0.5781322237632918
ToyTrain,0.5914111111111111,0.5678947368421052,0.5471222222222223,0.5864327485380117
slider,0.6949156163212988,0.6616782288984585,0.572439293598234,0.5684907633321715
