machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.48304444444444444,0.5042690058479532,0.47528888888888887,0.49216374269005847
pump,0.5409777777777778,0.5045029239766082,0.5051222222222223,0.4839766081871345
ToyCar,0.5190888888888888,0.5077777777777778,0.4953222222222222,0.49309941520467837
valve,0.5119555555555556,0.5112280701754386,0.5132333333333333,0.5107602339181286
gearbox,0.46706317022618726,0.5066288842700675,0.48464709508398823,0.49540112416964743
ToyTrain,0.48593333333333333,0.4994736842105263,0.5518888888888889,0.5167251461988304
slider,0.47561418500320446,0.5141051732086036,0.5124834437086092,0.49651446497037294
