machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5345,0.49105263157894735,0.5543888888888889,0.511812865497076
pump,0.6130222222222224,0.539766081871345,0.5142888888888889,0.49350877192982456
ToyCar,0.5345555555555555,0.49444444444444446,0.5104777777777778,0.5026900584795322
valve,0.49232222222222227,0.5009941520467837,0.4913777777777778,0.5116374269005848
gearbox,0.6454551126083974,0.54033241650094,0.7423909693327169,0.5947443446804714
ToyTrain,0.6149,0.5630994152046783,0.5561222222222222,0.5827485380116959
slider,0.7166096987823115,0.6531892645521087,0.5689403973509934,0.5696526083420472
