machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5363111111111112,0.4927485380116959,0.5552444444444444,0.5112865497076023
pump,0.5968222222222221,0.5336842105263158,0.5143,0.49643274853801167
ToyCar,0.5230333333333334,0.49187134502923974,0.5138222222222222,0.5031578947368421
valve,0.49182222222222227,0.5033333333333333,0.5004111111111111,0.5111111111111111
gearbox,0.6389460769022813,0.5384024350601377,0.7256607335490831,0.604690326138972
ToyTrain,0.6386888888888889,0.5821637426900584,0.5621,0.6025146198830409
slider,0.7047746208075197,0.651896243492731,0.5686754966887417,0.5679098408272336
