machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5102555555555556,0.49122807017543857,0.5411555555555555,0.5052631578947369
pump,0.5811111111111111,0.5232163742690058,0.5121222222222223,0.49339181286549705
ToyCar,0.5187999999999999,0.4874853801169591,0.5152111111111112,0.5
valve,0.48186666666666667,0.5050877192982456,0.5001444444444445,0.5091228070175439
gearbox,0.620486479367258,0.5245933996094068,0.6998574510710434,0.5764137284959973
ToyTrain,0.6057555555555556,0.547719298245614,0.5433444444444444,0.5808187134502925
slider,0.7044969023712881,0.6382914132157996,0.5612693156732891,0.5623910770303242
