machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5075666666666667,0.49105263157894735,0.5427333333333333,0.5070175438596491
pump,0.5853111111111111,0.5239766081871345,0.5121555555555556,0.49099415204678365
ToyCar,0.5099888888888889,0.4880701754385965,0.5254333333333333,0.49309941520467837
valve,0.474,0.5047953216374269,0.5002888888888889,0.5077777777777778
gearbox,0.622226381350469,0.536647574808671,0.7028432732316228,0.583140699645554
ToyTrain,0.6009888888888889,0.5553801169590643,0.5443111111111112,0.5699415204678362
slider,0.7035889767143773,0.6470052507898671,0.5630022075055188,0.5614035087719298
