machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5409333333333333,0.49350877192982456,0.5414555555555556,0.5067251461988304
pump,0.6016666666666667,0.5430994152046784,0.5246111111111111,0.49333333333333335
ToyCar,0.5324444444444444,0.49309941520467837,0.5232333333333333,0.49707602339181284
valve,0.4900111111111111,0.5023391812865498,0.5082555555555556,0.517719298245614
gearbox,0.663824595698075,0.5544406173167858,0.7683098320234243,0.6175004663762967
ToyTrain,0.5592333333333332,0.4850877192982456,0.5318111111111111,0.5841520467836258
slider,0.7017731254005554,0.642788877770157,0.5637858719646799,0.5744742651330312
