machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5300111111111111,0.4908187134502924,0.5468666666666667,0.508421052631579
pump,0.6032,0.5300584795321638,0.5169222222222222,0.49350877192982456
ToyCar,0.5206,0.4893567251461988,0.5154222222222222,0.501578947368421
valve,0.4795888888888889,0.5019883040935672,0.5050888888888889,0.5101754385964912
gearbox,0.6233632097379056,0.5250713345219684,0.7025639543843428,0.5747966193801656
ToyTrain,0.5998222222222223,0.5646783625730994,0.5444444444444445,0.5873684210526315
slider,0.7066972869045076,0.6610598275222344,0.5599337748344371,0.5688393168351342
