machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5394333333333334,0.4904093567251462,0.5569666666666666,0.5092397660818714
pump,0.5802555555555555,0.5288888888888889,0.5112111111111111,0.4927485380116959
ToyCar,0.515,0.49064327485380116,0.5092777777777777,0.5026315789473684
valve,0.47380000000000005,0.505672514619883,0.49746666666666667,0.5130994152046784
gearbox,0.6355009323379153,0.5317186430004973,0.7175604869779628,0.5855486207427956
ToyTrain,0.6284000000000001,0.5596491228070175,0.5486333333333333,0.5898830409356726
slider,0.7166737876522111,0.6543136306906981,0.5620640176600441,0.5672127338213082
