machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5022444444444444,0.4992397660818714,0.5594333333333334,0.527719298245614
pump,0.5317333333333334,0.511812865497076,0.5073333333333333,0.4952046783625731
ToyCar,0.46958888888888894,0.48830409356725146,0.5085777777777778,0.4953801169590643
valve,0.5105444444444444,0.5036257309941521,0.5152777777777777,0.5050877192982456
gearbox,0.5697797741593362,0.49626025051815803,0.6290934658653106,0.507557323730037
ToyTrain,0.5649666666666666,0.5364912280701755,0.5443555555555555,0.582514619883041
slider,0.645524460585345,0.6037733727611059,0.5920529801324503,0.568897409085628
