machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5100222222222223,0.494093567251462,0.5481222222222223,0.5104093567251462
pump,0.5852555555555555,0.5281286549707602,0.5104444444444445,0.48970760233918126
ToyCar,0.5198666666666667,0.48584795321637425,0.5263444444444444,0.4990643274853801
valve,0.4785111111111111,0.5039766081871345,0.4941111111111111,0.5052046783625731
gearbox,0.6309050956252903,0.5344622083000877,0.7062047310833719,0.5915506809093932
ToyTrain,0.5929222222222222,0.5464327485380117,0.5437000000000001,0.5621052631578948
slider,0.7097628711813715,0.6467241592552199,0.5610264900662252,0.5640176600441501
