machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5096222222222222,0.49374269005847954,0.5465777777777778,0.509298245614035
pump,0.5422111111111111,0.5270175438596492,0.5071333333333333,0.49415204678362573
ToyCar,0.4822666666666667,0.4872514619883041,0.5113777777777778,0.4957309941520468
valve,0.512788888888889,0.5073684210526316,0.5093555555555556,0.5154970760233918
gearbox,0.5801498672544901,0.5081648430348648,0.6323586068731699,0.5208997412625415
ToyTrain,0.5980555555555556,0.5421052631578948,0.5504777777777778,0.5861988304093567
slider,0.663394573809015,0.6386287230573764,0.5878697571743929,0.5709306378529104
