machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5264666666666667,0.493859649122807,0.5449333333333334,0.5096491228070176
pump,0.6074666666666667,0.5454970760233918,0.5184666666666666,0.49608187134502923
ToyCar,0.5162222222222221,0.4928654970760234,0.5107444444444444,0.5019883040935672
valve,0.4998444444444445,0.5059649122807017,0.5011555555555556,0.5082456140350877
gearbox,0.6418158753925177,0.534330867408086,0.7400408383418092,0.5884837498276435
ToyTrain,0.6128444444444444,0.5591812865497076,0.5476333333333333,0.5817543859649122
slider,0.7011642811365093,0.6549882503738518,0.5646799116997793,0.566457534564889
