machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5142666666666666,0.49432748538011695,0.5414888888888889,0.508888888888889
pump,0.5624333333333333,0.5325730994152047,0.5102222222222221,0.4945614035087719
ToyCar,0.48588888888888887,0.4871345029239766,0.5085222222222222,0.49391812865497076
valve,0.48335555555555554,0.5105263157894737,0.5082666666666666,0.5043859649122807
gearbox,0.5792556546814454,0.5087230418258719,0.6360282786253659,0.5187300776212376
ToyTrain,0.5415777777777777,0.5442105263157895,0.5567777777777778,0.5864912280701754
slider,0.6575304422132023,0.6352556246416083,0.5791721854304636,0.5713953758568607
