machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5247999999999999,0.4918713450292398,0.5500111111111111,0.5067251461988304
pump,0.6148333333333333,0.5362573099415204,0.5227666666666667,0.4898245614035088
ToyCar,0.5038666666666667,0.4901754385964912,0.5264333333333333,0.49707602339181284
valve,0.4930555555555556,0.5028070175438596,0.5133222222222222,0.5095906432748538
gearbox,0.6420099680440313,0.5124626088898083,0.734406302974264,0.5350025549310169
ToyTrain,0.5382444444444444,0.5391812865497077,0.5426,0.5794736842105264
slider,0.6949583422345653,0.6140051046222692,0.5548454746136865,0.5646566747995817
