machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5262444444444444,0.49216374269005847,0.5261,0.5086549707602339
pump,0.6013777777777778,0.5294736842105263,0.526511111111111,0.49415204678362573
ToyCar,0.5023555555555556,0.4946198830409357,0.5193,0.49444444444444446
valve,0.4890111111111111,0.5085380116959064,0.5110999999999999,0.5228070175438596
gearbox,0.6490596904222208,0.5512592490438566,0.7406668978270919,0.5999860087110981
ToyTrain,0.5362111111111111,0.513859649122807,0.5263666666666666,0.556374269005848
slider,0.7023499252296518,0.6294089207209436,0.5573399558498896,0.5611711397699547
