machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5409333333333333,0.49350877192982456,0.5414555555555556,0.5067251461988304
pump,0.6022666666666667,0.5432748538011696,0.5245,0.49321637426900583
ToyCar,0.5324444444444444,0.49309941520467837,0.5232333333333333,0.49707602339181284
valve,0.4958222222222223,0.511578947368421,0.5157333333333334,0.5116374269005848
gearbox,0.663824595698075,0.5544406173167858,0.7683098320234243,0.6175004663762967
ToyTrain,0.5592333333333332,0.4850877192982456,0.5318111111111111,0.5841520467836258
slider,0.7013245033112583,0.6417207299384972,0.5638631346578367,0.5743580806320437
