machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5363111111111111,0.492280701754386,0.5478888888888889,0.5080116959064327
pump,0.6285000000000001,0.5400584795321638,0.5278,0.4946783625730994
ToyCar,0.5257999999999999,0.49280701754385964,0.5256222222222222,0.49736842105263157
valve,0.48935555555555554,0.5050877192982456,0.508588888888889,0.5146198830409356
gearbox,0.6705623834577605,0.550088126090175,0.7791358452766219,0.6242527840637192
ToyTrain,0.5687444444444445,0.544327485380117,0.5492777777777778,0.6026900584795322
slider,0.7277184362315745,0.6582489121757609,0.5650441501103752,0.5752875566399442
